"","BR-A-Control_counts.txt","BR-A-Mutant_counts.txt","BR-B-Control_counts.txt","BR-B-Mutant_counts.txt","BR-C-Control_counts.txt","BR-C-Mutant_counts.txt"
"ENSMUSG00000002910",47,34,47,37,47,36
"ENSMUSG00000002930",20,10,13,21,18,16
"ENSMUSG00000002944",0,2,2,0,1,0
"ENSMUSG00000002948",768,898,630,952,881,822
"ENSMUSG00000002949",239,270,247,359,261,269
"ENSMUSG00000002957",955,955,819,1115,860,949
"ENSMUSG00000002963",90,69,57,90,58,81
"ENSMUSG00000002968",146,119,111,140,137,127
"ENSMUSG00000002980",21,16,14,19,21,20
"ENSMUSG00000002981",851,930,654,955,767,831
"ENSMUSG00000002983",16,7,9,15,15,6
"ENSMUSG00000002984",153,143,118,165,158,182
"ENSMUSG00000002985",18,24,21,8,9,17
"ENSMUSG00000002992",0,0,0,1,0,0
"ENSMUSG00000002996",586,577,588,638,660,566
"ENSMUSG00000002997",1481,1553,1371,1525,1318,1405
"ENSMUSG00000003031",481,473,330,461,393,440
"ENSMUSG00000003032",30,33,17,33,16,27
"ENSMUSG00000003033",598,611,533,708,575,567
